province,station_name,icao,iata,synop,latitude,longitude,elevation_m,metar,nexrad,aviation,upper_air,auto_type,office_type,country
BC,SARTINE ISL (MAP,CWFG,WFG,7147,50 49,128 54W,111,Yes,,,,,,CA
BC,SATURNA ISL (MAP,CWEZ,WEZ,7147,48 47,123 03W,7,Yes,,,,,,CA
BC,SCUDDER POINT,CWZD,,,52 27,131 14W,5,Yes,,,,,,CA
BC,SHERINGHAM AUTOB,CWSP,WSP,7178,48 23,123 55W,21,Yes,,,,,,CA
BC,SILVER STAR RADR,CXSS,,,50 22,119 04W,681,,Yes,,,,,CA
BC,SIKANNI CHIEF AU,CWKS,WKS,,57 15,122 43W,937,Yes,,,,,,CA
BC,SISTERS IL AUTOB,CWGT,,7178,49 29,124 26W,5,Yes,,,,,,CA
BC,SMITHERS AIRPORT,CYYD,YYD,7195,54 49,127 11W,523,Yes,,TAF,,,,CA
BC,SOLANDER ISL (MA,CWRU,WRU,7147,50 07,127 56W,98,Yes,,,,,,CA
BC,SPARWOOD (AUTOB),CWGW,WGW,7178,49 45,114 54W,137,Yes,,,,,,CA
BC,SPARWOOD/ELK VAL,CWSW,WSW,,49 45,114 52W,138,Yes,,,,,,CA
BC,SQUAMISH (AUTOB),CWSK,WSK,7120,49 47,123 10W,60,Yes,,,,,,CA
BC,SQUAMISH (AUTOB),CYSE,,,49 47,123 10W,52,Yes,,,,,,CA
BC,STEWART AIRPORT,CZST,ZST,7195,55 56,129 59W,7,Yes,,,,,,CA
BC,SUMMERLAND (AUTO,CWUS,WUS,7176,49 34,119 39W,454,Yes,,,,,,CA
BC,TATLAYOKO LAKE,CXTL,,7102,51 40,124 24W,875,Yes,,,,,,CA
BC,TERRACE AIRPORT,CYXT,YXT,7195,54 28,128 34W,217,Yes,,TAF,,,,CA
BC,TETSA RIVER,CWTH,WTH,,58 39,124 14W,804,Yes,,,,,,CA
BC,TOFINO AIRPORT,CYAZ,YAZ,7110,49 05,125 46W,24,Yes,,TAF,,,,CA
BC,TRIPLE ISLAND (L,CWTI,WTI,7110,54 18,130 53W,21,Yes,,,,,,CA
BC,VANCOUVER (AUTOB,CWHC,WHC,7120,49 17,123 07W,2,Yes,,,,,,CA
BC,VANCOUVER INTL A,CYVR,YVR,7189,49 10,123 10W,2,Yes,,TAF,Military,,,CA
BC,VERNON (AUTOB),CWJV,WJV,7111,50 13,119 11W,556,Yes,,,,,,CA
BC,VERNON BRIDGE,CWVK,WVK,7303,50 13,119 16W,555,,,,Rawinsonde,,,CA
BC,VIC. HARTLAND AU,CWVV,WVV,,48 31,123 28W,49,Yes,,,,,,CA
BC,VICTORIA (AUTOB),CWLM,WLM,7120,48 25,123 19W,70,Yes,,,,,,CA
BC,VICTORIA HARBOUR,CYWH,YWH,,48 25,123 23W,10,Yes,,TAF,,,,CA
BC,VICTORIA INTL AR,CYYJ,YYJ,7179,48 39,123 26W,19,Yes,,TAF,,,,CA
BC,VICTORIA UNIV,CWYJ,WYJ,7178,48 27,123 18W,39,Yes,,,,,,CA
BC,W VANCOUVER AUTO,CWWA,WWA,7178,49 21,123 10W,178,Yes,,,,,,CA
BC,WHISTLER,CWAE,WAE,,50 08,122 57W,658,Yes,,,,,,CA
BC,WHITE ROCK AUTOB,CWWK,WWK,7178,49 01,122 47W,15,Yes,,,,,,CA
BC,WILLIAMS LAKE AR,CYWL,YWL,7110,52 11,122 04W,940,Yes,,TAF,,,,CA
BC,INGENIKA PT CWWU,,,,56 47,124 54W,680,Obsolete,,,,,,CA
MB,ARNES,CWRE,,,50 48,096 57W,221,Yes,,,,,,CA
MB,BERENS RIVER APT,CYBV,YBV,,52 21,097 02W,222,Yes,,,,,,CA
MB,BERENS RIVER APT,CWCF,WCF,7115,52 21,097 02W,222,Yes,,,,,,CA
MB,BRANDON AIRPORT,CYBR,YBR,7114,49 55,099 57W,409,Yes,,TAF,,,,CA
MB,CARMAN U OF M,CWNK,WNK,7114,49 30,098 02W,268,Yes,,,,,,CA
MB,CHURCHILL AIRPOR,CYYQ,YYQ,7191,58 45,094 04W,29,Yes,,TAF,Rawinsonde,,,CA
MB,DAUPHIN,CYDN,YDN,7103,51 06,100 03W,305,Yes,,TAF,,,,CA
MB,DEERWOOD RCS,CXDW,XDW,7184,49 24,098 19W,341,Yes,,,,,,CA
MB,DELTA MARSH CS,CZUG,,7156,50 11,098 23W,248,Yes,,,,,,CA
MB,EMERSON,CWEX,,7156,49 00,097 14W,242,Yes,,,,,,CA
MB,FISHER BRANCH(MA,CWSZ,WSZ,7144,51 04,097 32W,253,Yes,,,,,,CA
MB,FLIN FLON AIRPOR,CYFO,YFO,,54 40,101 40W,304,Yes,,,,,,CA
MB,FOXWARREN RADAR,CXFW,,,50 33,101 06W,547,,Yes,,,,,CA
MB,GEORGE ISL (MAPS,CWWS,WWS,7144,52 49,097 37W,223,Yes,,,,,,CA
MB,GILLAM AIRPORT,CYGX,YGX,7191,56 21,094 42W,145,Yes,,TAF,,,,CA
MB,GILLAM AIRPORT,CWGX,WGX,,56 21,094 42W,145,Yes,,,,,,CA
MB,GIMLI,CYGM,YGM,7185,50 37,097 01W,230,Yes,,,,,,CA
MB,GIMLI HARBOUR,CXGH,,7157,50 38,097 00W,217,Yes,,,,,,CA
MB,GRAND RAPIDS (MA,CWJD,WJD,7185,53 10,099 16W,223,Yes,,,,,,CA
MB,GRETNA (MARS),CWGN,WGN,7144,49 01,097 34W,251,Yes,,,,,,CA
MB,HUNTERS POINT MA,CWHH,WHH,7114,53 02,100 56W,256,Yes,,,,,,CA
MB,ISLAND LAKE AIRP,CYIV,YIV,7114,53 51,094 39W,237,Yes,,TAF,Military,,,CA
MB,KELSEY DAM CS,CZKD,,7157,56 02,096 31W,183,Yes,,,,,,CA
MB,LYNN LAKE AIRPOR,CYYL,YYL,7107,56 52,101 04W,357,Yes,,TAF,Military,,,CA
MB,MELITA,CWEI,,7144,49 17,100 59W,446,Yes,,,,,,CA
MB,MORDEN,CXMD,XMD,7156,49 13,098 05W,301,Yes,,,,,,CA
MB,PILOT MOUND (MAR,CWPO,WPO,7114,49 12,098 54W,470,Yes,,,,,,CA
MB,PORTAGE SOUTHPOR,CYPG,YPG,7185,49 53,098 16W,269,Yes,,TAF,,,,CA
MB,SHILO,CWLO,WLO,7185,49 46,099 37W,373,Yes,,,,,,CA
MB,SWAN RIVER (MARS,CWEQ,WEQ,7144,52 07,101 13W,335,Yes,,,,,,CA
MB,TADOULE LAKE CS,CXBQ,,7133,58 42,098 30W,262,Yes,,,,,,CA
MB,TADOULE LAKE,CYBQ,,,58 42,098 30W,262,Yes,,,,,,CA
MB,THE PAS AIRPORT,CYQD,YQD,7186,53 58,101 05W,271,Yes,,TAF,Rawinsonde,,,CA
MB,THOMPSON AIRPORT,CYTH,YTH,7107,55 47,097 52W,218,Yes,,TAF,,,,CA
MB,VICTORIA BEACH,CWII,WII,7155,50 42,096 34W,220,Yes,,,,,,CA
